affiliation,model_size,type,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE
progressive,25,human,0.6027529,0.08069076,0.072601855,0.24928534,0.013476364,0.46460027,0.09932428,0.36750835,0.7079002,0.9215016,0.032293554,0.44475096,0.39319527,0.6643548,0.9830818
progressive,25,human,0.019854378,0.0016975403,0.0051427023,0.010248893,0.0077802283,0.018255826,0.17912908,0.2598143,0.09731949,0.5905856,0.07463914,0.46613416,0.88013095,0.016395653,0.032730024
progressive,25,human,0.62702215,0.02444411,0.024801146,0.35505778,0.0086087575,0.70864636,0.083725,0.2440926,0.6680964,0.8838319,0.050894685,0.2988024,0.68429667,0.044863105,0.9763468
progressive,25,human,0.024849601,0.001001358,0.0027378413,0.01302291,0.0066927844,0.013336895,0.060410418,0.37223685,0.18664443,0.75197387,0.040081624,0.6327685,0.7536498,0.010026119,0.3396657
progressive,25,human,0.20242359,0.013285006,0.018470341,0.06023245,0.013631714,0.18786818,0.037913844,0.08055202,0.2742131,0.84656245,0.8253275,0.9375,0.751994,0.19816731,0.56891656
progressive,25,human,0.29953843,0.005874634,0.015053716,0.26957804,0.006246155,0.08549073,0.3520253,0.9091204,0.13944937,0.7490182,0.019564528,0.54328054,0.6588368,0.0150981555,0.022353485
progressive,25,human,0.045625936,0.0016784668,0.00828752,0.019096779,0.0074048014,0.019690514,0.050853286,0.24898808,0.2819173,0.64749664,0.102877885,0.7550282,0.85571665,0.010262027,0.13896576
progressive,25,human,0.45549932,0.10702737,0.10221587,0.16480011,0.34804323,0.257327,0.19528192,0.59201556,0.43535107,0.9803017,0.076835975,0.93047464,0.6444604,0.07007381,0.14013831
progressive,25,human,0.11440011,0.0029182434,0.005512681,0.03489272,0.0076507707,0.051181246,0.18081187,0.7448008,0.15486948,0.8819006,0.027657446,0.478549,0.92094064,0.017811105,0.039918955
progressive,25,human,0.010743983,0.0006389618,0.002192123,0.0073988754,0.0066086366,0.010757872,0.5481642,0.03810633,0.1220787,0.28577214,0.18760677,0.41022074,0.58420426,0.007018283,0.035145104
progressive,25,human,0.4838166,0.034110364,0.042550452,0.5072643,0.010110466,0.45190978,0.15693289,0.5402073,0.3764576,0.9248177,0.23611215,0.79885024,0.8307522,0.15459739,0.585443
progressive,25,human,0.76197964,0.023364257,0.10221587,0.7782364,0.009023022,0.39409557,0.0051268702,0.037275698,0.90887594,0.5854045,0.0020511448,0.13229063,0.545089,0.04168299,0.2296674
progressive,25,human,0.044388983,0.0009727478,0.013445892,0.020837102,0.006207318,0.013302735,0.63681954,0.3953111,0.36538476,0.45844808,0.6137091,0.79547423,0.7274893,0.0045117536,0.093702964
progressive,25,human,0.46982017,0.011444092,0.009101473,0.49389273,0.007573096,0.38063943,0.28567025,0.9434629,0.3612932,0.82991326,0.0118007045,0.19062,0.77561545,0.026303818,0.05948697
progressive,25,human,0.32236105,0.011444092,0.18158256,0.25998658,0.0097738765,0.049177196,0.08231504,0.6425516,0.7279288,0.8097282,0.046911694,0.56129766,0.7778043,0.014154521,0.08954235
progressive,25,human,0.032391842,0.0013065338,0.004125261,0.011540901,0.009048914,0.011492296,0.027550163,0.27758303,0.16262713,0.50527275,0.01468313,0.38068724,0.831758,0.003980959,0.017516557
progressive,25,human,0.036162965,0.00076293945,0.0029413297,0.020256994,0.006110225,0.012175481,0.96,0.62850285,0.4395208,0.7800884,0.013358805,0.6029245,0.6780218,0.005248968,0.07583976
progressive,25,human,0.8460273,0.029626917,0.02238941,0.802824,0.01052473,0.4185329,0.5604343,0.59201556,0.47304544,0.8116681,0.018765358,0.4303383,0.8575435,0.024888365,0.070298865
progressive,25,human,0.8403191,0.16960317,0.09741807,0.7804726,0.009307829,0.4681068,0.23587388,0.2861244,0.5086464,0.9917009,0.08755369,0.5760913,0.62716365,0.038679544,0.9830818
progressive,25,human,0.056758508,0.0030899048,0.005956655,0.01767874,0.008686432,0.040910475,0.07905534,0.33627164,0.10780245,0.87923026,0.049012035,0.54378414,0.95973986,0.026539726,0.031020267
progressive,25,human,0.1460314,0.0022125244,0.019776696,0.075868964,0.0064144502,0.020032106,0.0049332534,0.13673183,0.44168228,0.5158313,0.006296559,0.44754314,0.60752296,0.0062810685,0.014468528
progressive,25,human,0.6308517,0.22207877,0.04435511,0.5678696,0.09009721,0.3496935,0.6142782,0.7746792,0.7079002,0.9333354,0.012702384,0.4401155,0.18281636,0.13174853,0.9254658
progressive,25,human,0.02638162,0.0013160706,0.0055866763,0.012300906,0.0067963502,0.017162729,0.3316032,0.7822715,0.2567078,0.7969697,0.015033561,0.52274454,0.8307522,0.013387818,0.047274556
progressive,25,human,0.681338,0.02425631,0.16373143,0.6798578,0.011922873,0.36230123,0.07455279,0.9114751,0.6489493,0.763943,0.01881585,0.66337335,0.4018983,0.02937063,0.2800919
progressive,25,human,0.5140397,0.026936848,0.40351558,0.48627716,0.0130621,0.39842105,0.009215213,0.545251,0.62272483,0.99223125,0.02401006,0.6447385,0.20545024,0.056700204,0.9390318
progressive,25,human,0.10566349,0.0015640259,0.033269364,0.04207976,0.006317357,0.012892825,0.08799971,0.08759922,0.43744776,0.24893378,0.035798434,0.3743712,0.46417442,0.0065759546,0.022889396
progressive,25,human,0.023671126,0.002298355,0.0070665907,0.010856897,0.009230154,0.021535112,0.44551918,0.09217208,0.1705958,0.74894905,0.07372601,0.59719944,0.9494349,0.020642009,0.08003696
progressive,25,human,0.017341165,0.001373291,0.0030153254,0.0107048955,0.0062979385,0.01846078,0.13829881,0.29240012,0.17317027,0.83324593,0.04848526,0.64104104,0.8923531,0.014036566,0.14393692
progressive,25,human,0.13041082,0.003452301,0.01756594,0.0350029,0.03856628,0.01893901,0.031543214,0.24814935,0.88178986,0.61538565,0.012284989,0.70268977,0.39771447,0.007843964,0.40622047
progressive,25,human,0.017718147,0.0016212463,0.0035702933,0.009393888,0.0074824756,0.017572641,0.037749235,0.10601686,0.044003226,0.7254921,0.08544791,0.4943748,0.9821316,0.013918612,0.013444861
progressive,25,human,0.41168427,0.023076924,0.4830652,0.36798462,0.013321015,0.18417911,0.42902985,0.9307536,0.6283672,0.716636,0.010713731,0.4419224,0.163743,0.036801755,0.14629975
progressive,25,human,0.4826145,0.023927659,0.55044734,0.36798462,0.009644418,0.24631839,0.14395937,0.59201556,0.85235363,0.97106767,0.021762965,0.46860716,0.62408215,0.030196311,0.36767495
